 strawberry; pomegranate
 peafowl; quill
 Labrador Retriever; Golden Retriever
 monarch butterfly; sulphur butterfly
 giant panda; brown bear
 Border Collie; collie
 spider web; European garden spider
 Pembroke Welsh Corgi; Cardigan Welsh Corgi
 scarf; poncho
 vase; drink pitcher
 German Shepherd Dog; Malinois
 tank; half-track
 violin; cello
 cucumber; zucchini
 cheetah; leopard
 orangutan; gorilla
 missile; missile
 soccer ball; rugby ball
 lab coat; stethoscope
 tiger; tiger cat
 tennis ball; baseball
 skunk; badger
 lemon; orange
 Rottweiler; Black and Tan Coonhound
 espresso; coffee mug
 canoe; paddle
 praying mantis; stick insect
 llama; arabian camel
 sandal; clogs
 electric guitar; acoustic guitar
 bathtub; hot tub
 Scottish Terrier; Giant Schnauzer
 parachute; balloon
 sea lion; otter
 Beagle; Treeing Walker Coonhound
 binoculars; loupe magnifying glass
 ice cream; chocolate syrup
 porcupine; beaver
 Cocker Spaniel; Sussex Spaniel
 pufferfish; eel
 hen; rooster
 zebra; tray
 collie; Shetland Sheepdog
 dragonfly; damselfly
 fly; bee
 grey whale; killer whale
 accordion; harp
 junco; brambling
 badger; weasel
 bow tie; Windsor tie
 harmonica; lighter
 grey wolf; coyote
 lipstick; eraser
 hot dog; cheeseburger
 bee; spotlight
 acorn; horse chestnut seed
 burrito; plate
 ant; bee
 goldfish; gar fish
 black swan; goose
 snail; slug
 great egret; crane bird
 candle; spotlight
 revolver; rifle
 vulture; kite (bird of prey)
 barn; boathouse
 lion; lynx
 Weimaraner; Vizsla
 Golden Retriever; Labrador Retriever
 snow leopard; lynx
 broom; mop
 cauldron; Dutch oven
 submarine; dock
 Chihuahua; toy terrier
 rugby ball; baseball
 grasshopper; cricket insect
 pickup truck; jeep
 fox squirrel; mongoose
 baboon; macaque
 beer glass; eggnog
 hippopotamus; pig
 mailbox; trash can
 leopard; jaguar
 St. Bernard; Great Pyrenees dog
 bison; water buffalo
 bald eagle; kite (bird of prey)
 wine bottle; red wine
 pizza; pot pie
 lorikeet; macaw
 flamingo; crane bird
 pig; wild boar
 joystick; computer mouse
 Pomeranian; Pekingese
 trombone; cornet
 chimpanzee; gorilla
 tractor; threshing machine
 red fox; kit fox
 flute; oboe
 grand piano; upright piano
 pug; brussels griffon
 French Bulldog; Boston Terrier
 shield; tray
 jellyfish; spotlight
 castle; palace
 hatchet; hammer
 cottontail rabbit; hare
 West Highland White Terrier; Cairn Terrier
 pelican; spoonbill
 pineapple; artichoke
 hermit crab; rock crab
 bucket; trash can
 tabby cat; Egyptian Mau
 hyena; African wild dog
 ladybug; leaf beetle
 cockroach; cricket insect
 schooner; sailboat
 jeep; tow truck
 assault rifle; rifle
 saxophone; oboe
 Standard Poodle; Miniature Poodle
 Granny Smith apple; fig
 axolotl; smooth newt
 stingray; electric ray
 harp; accordion
 scuba diver; snorkel
 tarantula; wolf spider
 gorilla; chimpanzee
 scorpion; crayfish
 wheelbarrow; trash can
 hummingbird; bee
 clownfish; sea anemone
 Bloodhound; Redbone Coonhound
 beaver; otter
 starfish; sea cucumber
 centipede; isopod
 Whippet; Italian Greyhound
 Afghan Hound; Briard
 space shuttle; missile
 Toy Poodle; Miniature Poodle
 Dalmatian; Great Dane
 hammerhead shark; tiger shark
 hammer; hatchet
 king penguin; soap dispenser
 polar bear; brown bear
 Basset Hound; Beagle
 smooth newt; newt
 pomegranate; fig
 pretzel; bagel
 guinea pig; hamster
 bagel; pretzel
 gibbon; langur
 killer whale; grey whale
 lawn mower; wheelbarrow
 Yorkshire Terrier; Australian Silky Terrier
 eel; pufferfish
 cannon; missile
 backpack; purse
 guillotine; pole
 school bus; fire truck
 baseball player; baseball
 gas mask or respirator; oxygen mask
 green iguana; frilled-necked lizard
 bell pepper; acorn squash
 fire truck; tow truck
 mitten; wool
 volcano; mountain
 tree frog; tailed frog
 cheeseburger; hot dog
 cabbage; spotlight
 ostrich; crane bird
 pirate ship; dock
 mushroom; agaric
 great white shark; tiger shark
 Boston Terrier; French Bulldog
 Indian cobra; night snake
 American lobster; crayfish
 koala; indri
 gazelle; impala (antelope)
 chameleon; European green lizard
 lighthouse; breakwater
 birdhouse; crate
 carousel; tray
 cowboy hat; sombrero
 steam locomotive; cannon
 broccoli; cauliflower
 ambulance; minibus
 meerkat; mongoose
 Italian Greyhound; Whippet
 banana; cucumber
 toucan; hornbill
 Boxer; Bullmastiff
 Shih Tzu; Lhasa Apso
 mobile phone; hand-held computer
 Chow Chow; Pomeranian
 goose; duck
 basketball; volleyball
 Siberian Husky; husky
 military aircraft; airplane wing
 duck; goose
 goldfinch; brambling
