 hammer; dust jacket; hatchet
 trombone; trombone; cornet
 grey wolf; grey wolf; coyote
 mobile phone; spotlight; hand-held computer
 scorpion; scorpion; crayfish
 praying mantis; praying mantis; stick insect
 goldfish; velvet fabric; gar fish
 grand piano; grand piano; upright piano
 ant; ant; bee
 tiger; tiger; tiger cat
 tree frog; tree frog; tailed frog
 cauldron; vase; Dutch oven
 tennis ball; tray; baseball
 Shih Tzu; Lhasa Apso; Lhasa Apso
 polar bear; polar bear; brown bear
 wine bottle; wine bottle; red wine
 lion; tray; lynx
 harmonica; dust jacket; lighter
 Bloodhound; Bloodhound; Redbone Coonhound
 gibbon; dust jacket; langur
 stingray; velvet fabric; electric ray
 hatchet; hatchet; hammer
 fox squirrel; dust jacket; mongoose
 flamingo; vase; crane bird
 revolver; revolver; rifle
 bow tie; velvet fabric; Windsor tie
 wheelbarrow; wheelbarrow; trash can
 backpack; dust jacket; purse
 hot dog; dust jacket; cheeseburger
 starfish; starfish; sea cucumber
 vulture; dust jacket; kite (bird of prey)
 pufferfish; tray; eel
 canoe; tray; paddle
 barn; barn; boathouse
 hammerhead shark; dust jacket; tiger shark
 fire truck; fire truck; tow truck
 hummingbird; velvet fabric; bee
 tank; amphibious vehicle; half-track
 cucumber; velvet fabric; zucchini
 pig; piggy bank; wild boar
 baseball player; dust jacket; baseball
 Beagle; Beagle; Treeing Walker Coonhound
 beaver; dust jacket; otter
 St. Bernard; St. Bernard; Great Pyrenees dog
 badger; badger; weasel
 pirate ship; tray; dock
 gas mask or respirator; gas mask or respirator; oxygen mask
 vase; vase; drink pitcher
 junco; junco; brambling
 king penguin; soap dispenser; soap dispenser
 orangutan; dust jacket; gorilla
 jellyfish; velvet fabric; spotlight
 hermit crab; velvet fabric; rock crab
 flute; dust jacket; oboe
 Whippet; Whippet; Italian Greyhound
 pretzel; pretzel; bagel
 burrito; dust jacket; plate
 submarine; velvet fabric; dock
 dragonfly; velvet fabric; damselfly
 jeep; jeep; tow truck
 snow leopard; snow leopard; lynx
 bee; velvet fabric; spotlight
 eel; velvet fabric; pufferfish
 saxophone; dust jacket; oboe
 tractor; tractor; threshing machine
 bald eagle; kite (bird of prey); kite (bird of prey)
 snail; velvet fabric; slug
 binoculars; binoculars; loupe magnifying glass
 Granny Smith apple; Granny Smith apple; fig
 military aircraft; military aircraft; airplane wing
 killer whale; killer whale; grey whale
 West Highland White Terrier; Cairn Terrier; Cairn Terrier
 carousel; carousel; tray
 parachute; dust jacket; balloon
 black swan; goose; goose
 joystick; joystick; computer mouse
 cabbage; cabbage; spotlight
 pelican; pelican; spoonbill
 mailbox; spotlight; trash can
 centipede; centipede; isopod
 assault rifle; assault rifle; rifle
 hen; velvet fabric; rooster
 green iguana; green iguana; frilled-necked lizard
 chimpanzee; dust jacket; gorilla
 Dalmatian; Dalmatian; Great Dane
 toucan; toucan; hornbill
 Italian Greyhound; Italian Greyhound; Whippet
 cheetah; cheetah; leopard
 peafowl; velvet fabric; quill
 espresso; tea cup; coffee mug
 lighthouse; lighthouse; breakwater
 cottontail rabbit; velvet fabric; hare
 great white shark; great white shark; tiger shark
 bison; tray; water buffalo
 steam locomotive; steam locomotive; cannon
 bathtub; dust jacket; hot tub
 chameleon; velvet fabric; European green lizard
 leopard; jaguar; jaguar
 Siberian Husky; husky; husky
 cannon; cannon; missile
 volcano; dust jacket; mountain
 grey whale; velvet fabric; killer whale
 great egret; great egret; crane bird
 Rottweiler; muzzle; Black and Tan Coonhound
 bagel; dust jacket; pretzel
 sandal; clogs; clogs
 banana; velvet fabric; cucumber
 rugby ball; dust jacket; baseball
 Pomeranian; Pomeranian; Pekingese
 axolotl; dust jacket; smooth newt
 hyena; dust jacket; African wild dog
 lipstick; dust jacket; eraser
 broccoli; dust jacket; cauliflower
 shield; shield; tray
 skunk; dust jacket; badger
 tarantula; tarantula; wolf spider
 Yorkshire Terrier; Yorkshire Terrier; Australian Silky Terrier
 collie; Shetland Sheepdog; Shetland Sheepdog
 guinea pig; dust jacket; hamster
 ice cream; velvet fabric; chocolate syrup
 Labrador Retriever; Labrador Retriever; Golden Retriever
 lemon; tray; orange
 Cocker Spaniel; Cocker Spaniel; Sussex Spaniel
 Boston Terrier; Boston Terrier; French Bulldog
 spider web; spider web; European garden spider
 gazelle; tray; impala (antelope)
 Standard Poodle; Standard Poodle; Miniature Poodle
 Golden Retriever; Golden Retriever; Labrador Retriever
 Pembroke Welsh Corgi; velvet fabric; Cardigan Welsh Corgi
 Toy Poodle; Toy Poodle; Miniature Poodle
 pineapple; pineapple; artichoke
 school bus; school bus; fire truck
 lab coat; dust jacket; stethoscope
 goldfinch; goldfinch; brambling
 Scottish Terrier; Scottish Terrier; Giant Schnauzer
 cockroach; cockroach; cricket insect
 mitten; dust jacket; wool
 Basset Hound; Basset Hound; Beagle
 lorikeet; lorikeet; macaw
 smooth newt; smooth newt; newt
 zebra; zebra; tray
 birdhouse; birdhouse; crate
 broom; dust jacket; mop
 koala; teddy bear; indri
 schooner; schooner; sailboat
 duck; toy store; goose
 grasshopper; cricket insect; cricket insect
 hippopotamus; piggy bank; pig
 pickup truck; tow truck; jeep
 meerkat; meerkat; mongoose
 Chow Chow; Chow Chow; Pomeranian
 ostrich; ostrich; crane bird
 clownfish; velvet fabric; sea anemone
 accordion; accordion; harp
 space shuttle; space shuttle; missile
 sea lion; sea lion; otter
 French Bulldog; French Bulldog; Boston Terrier
 mushroom; velvet fabric; agaric
 pug; pug; brussels griffon
 scuba diver; dust jacket; snorkel
 goose; goose; duck
 beer glass; tea cup; eggnog
 American lobster; crayfish; crayfish
 giant panda; teddy bear; brown bear
 bucket; bucket; trash can
 Weimaraner; Weimaraner; Vizsla
 cowboy hat; dust jacket; sombrero
 ambulance; moving van; minibus
 tabby cat; Egyptian Mau; Egyptian Mau
 red fox; velvet fabric; kit fox
 llama; dust jacket; arabian camel
 soccer ball; soccer ball; rugby ball
 acorn; velvet fabric; horse chestnut seed
 Indian cobra; velvet fabric; night snake
 Boxer; Boxer; Bullmastiff
 monarch butterfly; monarch butterfly; sulphur butterfly
 missile; missile; missile
 porcupine; porcupine; beaver
 harp; harp; accordion
 cheeseburger; bakery; hot dog
 violin; violin; cello
 castle; church; palace
 electric guitar; electric guitar; acoustic guitar
 pizza; tray; pot pie
 ladybug; velvet fabric; leaf beetle
 fly; bee; bee
 bell pepper; bell pepper; acorn squash
 Chihuahua; Chihuahua; toy terrier
 German Shepherd Dog; German Shepherd Dog; Malinois
 Border Collie; Border Collie; collie
 strawberry; velvet fabric; pomegranate
 baboon; dust jacket; macaque
 basketball; dust jacket; volleyball
 scarf; dust jacket; poncho
 lawn mower; lawn mower; wheelbarrow
 gorilla; dust jacket; chimpanzee
 pomegranate; pomegranate; fig
 guillotine; guillotine; pole
 candle; dust jacket; spotlight
 Afghan Hound; Afghan Hound; Briard
