dataset;patch-acc;cls-acc;c2;c3;c1;l1_dist
inet_c_sev_1;0.7398894736842105;0.6774642105263158;0.9806743421052632;0.23739035087719298;0.7681674890350877;193.9484
inet_c_sev_2;0.6736168421052632;0.6153547368421052;0.9440789473684209;0.2275219298245614;0.7020901864035087;261.0795
inet_c_sev_3;0.5997084210526316;0.5485157894736843;0.8950109649122807;0.20901864035087717;0.6515337171052632;318.1914
inet_c_sev_4;0.4974494736842105;0.4561484210526315;0.8434758771929824;0.18791118421052633;0.5893866502192983;390.72455
inet_c_sev_5;0.3672852631578947;0.3383094736842105;0.7664473684210527;0.1585800438596491;0.5200740131578948;478.02664
inet_r;0.4062;0.4243333333333333;0.8072526041666667;0.16385416666666666;0.5590625;418.95547
inet_v2_70;0.7969;0.7294;0.9770572916666668;0.2505598958333333;0.716953125;233.96954
inet_v2_mf;0.7277;0.6686;0.9708854166666666;0.2470182291666667;0.7096744791666666;243.64047
inet_v2_top;0.8326;0.7635;0.9789453124999999;0.25266927083333335;0.7154166666666667;234.732
